CODE;FR
45211300-2;Travaux de construction complète de maisons
45211310-5;Travaux de construction de salles de bains
45211320-8;Travaux de construction de porches
45211340-4;Travaux de construction d'immeubles collectifs
45211341-1;Travaux de construction d'appartements
45211350-7;Travaux de construction de bâtiments multifonctionnels
45211360-0;Travaux de développement urbain
45211370-3;Travaux de construction de saunas
45212000-6;Travaux de construction de bâtiments destinés aux loisirs, aux sports, à la culture, à l'hébergement et de restaurants
45212100-7;Construction d'équipements pour les loisirs
45212110-0;Travaux de construction de centres de loisirs
45212120-3;Travaux de construction de parcs à thèmes
45212130-6;Travaux de construction de parcs d'attractions
45212140-9;Installation récréative
45212150-2;Travaux de construction de cinémas
45212160-5;Travaux de construction de casinos
45212170-8;Travaux de construction de bâtiments de loisirs
45212171-5;Travaux de construction de centres de divertissements
45212172-2;Travaux de construction de centres récréatifs
45212180-1;Travaux de construction de billetteries
45212190-4;Ouvrages de protection contre le soleil
45212200-8;Travaux de construction d'installations sportives
45212210-1;Travaux de construction d'installations sportives monovalentes
45212211-8;Travaux de construction de patinoires
45212212-5;Travaux de construction de piscines
45212213-2;Travaux de marquage sportif
45212220-4;Travaux de construction d'installations sportives polyvalentes
45212221-1;Travaux de construction d'ouvrages pour terrain de sports
45212222-8;Travaux de construction de gymnases
45212223-5;Travaux de construction d'installations de sports d'hiver
45212224-2;Travaux de construction de stades
45212225-9;Travaux de construction de palais des sports
45212230-7;Installation de vestiaires
45212290-5;Réparation et entretien d'infrastructures sportives
45212300-9;Travaux de construction de bâtiments à usage artistique et culturel
45212310-2;Travaux de construction de bâtiments destinés aux expositions
45212311-9;Travaux de construction de galeries d'art
45212312-6;Travaux de construction de parcs des expositions
45212313-3;Travaux de construction de musées
45212314-0;Travaux de construction de monuments historiques ou de mémoriaux
45212320-5;Travaux de construction de bâtiments destinés aux activités artistiques
45212321-2;Travaux de construction d'auditoriums
45212322-9;Travaux de construction de theâtres
45212330-8;Travaux de construction de bibliothèques
45212331-5;Travaux de construction de bibliothèques multimédia
45212340-1;Travaux de construction de salle de conférences
45212350-4;Bâtiments présentant un intérêt historique ou architectural particulier
45212351-1;Travaux de construction de monuments préhistoriques
45212352-8;Travaux de construction de monuments industriels
45212353-5;Travaux de construction de palais
45212354-2;Travaux de construction de châteaux
45212360-7;Travaux de construction de bâtiments religieux
45212361-4;Travaux de construction d'églises
45212400-0;Hôtels et restaurants
45212410-3;Travaux de construction de bâtiments destinés à l'hébergement
45212411-0;Travaux de construction d'hôtels
45212412-7;Travaux de construction de foyers
45212413-4;Travaux de construction de logements pour séjours de courte durée
45212420-6;Travaux de construction de restaurants et d'établissements similaires
45212421-3;Travaux de construction de restaurants
45212422-0;Travaux de construction de cantines
45212423-7;Travaux de construction de cafétarias
45212500-1;Transformation de cuisines ou de restaurants
45212600-2;Travaux de construction de pavillons
45213000-3;Travaux de construction de locaux commerciaux, d'entrepôts et de bâtiments industriels, de bâtiments liés aux transports
45213100-4;Travaux de construction de locaux commerciaux
45213110-7;Travaux de construction de magasins
45213111-4;Travaux de construction de centres commerciaux
45213112-1;Travaux de construction de boutiques
45213120-0;Travaux de construction de bureaux de poste
45213130-3;Travaux de construction de banques
45213140-6;Travaux de construction de marchés
45213141-3;Travaux de construction de marchés couverts
45213142-0;Travaux de construction de marchés à ciel ouvert
45213150-9;Travaux de construction d'immeubles de bureaux
45213200-5;Travaux de construction d'entrepôts et de bâtiments industriels
45213210-8;Entrepôts frigorifiques
45213220-1;Travaux de construction d'entrepôts
45213221-8;Travaux de construction de dépôts
45213230-4;Travaux de construction d'abattoirs
45213240-7;Travaux de construction de bâtiments agricoles
45213241-4;Travaux de construction de granges
45213242-1;Travaux de construction d'étables
45213250-0;Travaux de construction de bâtiments industriels
45213251-7;Travaux de construction d'unités industrielles
45213252-4;Travaux de construction d'ateliers
45213260-3;Travaux de construction d'entrepôts de marchandises
45213270-6;Travaux de construction de stations de recyclage
45213280-9;Travaux de construction d'installations de compostage
45213300-6;Bâtiments liés aux activités de transport
45213310-9;Travaux de construction de bâtiments liés aux transports routiers
45213311-6;Travaux de construction de gares routières
45213312-3;Travaux de construction de parkings à étages
45213313-0;Travaux de construction de bâtiments d'aire de services
45213314-7;Travaux de construction de dépôts d'autobus
45213315-4;Travaux de construction d'abris-bus
45213316-1;Travaux d'installation de passerelles
45213320-2;Travaux de construction de bâtiments liés aux transports ferroviaires
45213321-9;Travaux de construction de gares de chemin de fer
45213322-6;Travaux de construction de terminaux ferroviaires
45213330-5;Travaux de construction de bâtiments liés aux transports aériens
45213331-2;Travaux de construction de bâtiments aéroportuaires
45213332-9;Travaux de construction de tours de contrôle d'aéroport
45213333-6;Travaux d' installation de comptoirs d'enregistrement d'aéroport
45213340-8;Travaux de construction de bâtiments liés aux transports par voie d'eau
45213341-5;Travaux de construction de terminaux de ferry
45213342-2;Travaux de construction de terminaux Ro-Ro
45213350-1;Travaux de construction de bâtiments liés à plusieurs modes de transport
45213351-8;Travaux de construction de hangars d'entretien
45213352-5;Travaux de construction de dépôts de service
45213353-2;Travaux d'installation de passerelles pour passagers
45213400-7;Installation de locaux pour le personnel
45214000-0;Travaux de construction d'établissements d'enseignement et de centres de recherche
45214100-1;Travaux de construction de jardins d'enfants
45214200-2;Travaux de construction de bâtiments scolaires
45214210-5;Travaux de construction d'écoles primaires
45214220-8;Travaux de construction d'écoles secondaires
45214230-1;Travaux de construction d'écoles spécialisées
45214300-3;Construction d'établissements d'enseignement supérieur
45214310-6;Travaux de construction de collèges professionnels
45214320-9;Travaux de construction de collèges techniques
45214400-4;Construction de bâtiments universitaires
45214410-7;Travaux de construction d'instituts polytechniques
45214420-0;Travaux de construction d'amphithéâtres
45214430-3;Travaux de construction de laboratoires de langues
45214500-5;Travaux de construction de centres de formation continue
45214600-6;Construction de centres de recherche
45214610-9;Travaux de construction de bâtiments de laboratoire
45214620-2;Travaux de construction d'équipements de recherche et d'essai
45214630-5;Installations scientifiques
45214631-2;Travaux d'installation de salles blanches
45214640-8;Travaux de construction de stations météorologiques
45214700-7;Travaux de construction de cité universitaire
45214710-0;Travaux de construction de halls d'entrée
45214800-8;Construction d'équipements de formation
45215000-7;Travaux de construction de bâtiments liés à la santé et aux services sociaux, de crématoriums et de toilettes publiques
45215100-8;Travaux de construction de bâtiments liés à la santé
45215110-1;Travaux de construction de spas
45215120-4;Travaux de construction de bâtiments médicaux spécialisés
45215130-7;Travaux de construction de cliniques
45215140-0;Travaux de construction d'équipements hospitaliers
45215141-7;Travaux de construction de salles d'opération
45215142-4;Travaux de construction d'unités de soins intensifs
45215143-1;Travaux de construction de salles de dépistage et de diagnostic
45215144-8;Travaux de construction de salles de dépistage
45215145-5;Travaux de construction de salles de radioscopie
45215146-2;Travaux de construction de salles de pathologie
45215147-9;Travaux de construction de salles de médecine légale
45215148-6;Travaux de construction de salles de cathétérisme
45215200-9;Construction de bâtiments pour les services sociaux
45215210-2;Travaux de construction de foyers et de structures d'accueil à caractère social
45215212-6;Travaux de construction de maisons de retraite
45215213-3;Travaux de construction de centres de soins
45215214-0;Travaux de construction de foyers résidentiels
45215215-7;Travaux de construction de foyers pour enfants
45215220-5;Travaux de construction d'établissements sociaux, excepté foyers et structures d'accueil à caractère social
45215221-2;Travaux de construction de foyers de jour
45215222-9;Travaux de construction de centres administratifs
45215300-0;Travaux de construction de crématorium
45215400-1;Cimetière
45215500-2;Toilettes publiques
45216000-4;Travaux de construction de bâtiments destinés aux institutions d'ordre public ou aux services de secours et de bâtiments militaires
45216100-5;Travaux de construction de bâtiments destinés aux institutions d'ordre public ou aux services de secours
45216110-8;Travaux de construction de bâtiments destinés aux institutions d'ordre public
45216111-5;Travaux de construction de commissariats de police
45216112-2;Travaux de construction de tribunaux
45216113-9;Travaux de construction de prisons
45216114-6;Édifices parlementaires et salles de réunion publiques
45216120-1;Travaux de construction de bâtiments destinés aux services de secours
45216121-8;Travaux de construction de centres de secours des sapeurs-pompiers
45216122-5;Travaux de construction de centres ambulanciers
45216123-2;Travaux de construction de postes de secours en montagne
45216124-9;Travaux de construction de postes de secours en mer
45216125-6;Travaux de construction de bâtiments des services de secours
45216126-3;Travaux de construction de postes de garde-côtes
45216127-0;Travaux de construction de postes de secours et de sauvetage
45216128-7;Travaux de construction de phares
45216129-4;Abris de protection
45216200-6;Travaux de construction de bâtiments et d'installations militaires
45216220-2;Travaux de construction de bunkers militaires
45216230-5;Travaux de construction d'abris militaires
45216250-1;Travaux de construction de défenses en tranchée
45217000-1;Travaux de construction de bâtiments gonflables
45220000-5;Ouvrages d'art et de génie civil
45221000-2;Travaux de construction de ponts et de tunnels, de puits et de passages souterrains
45221100-3;Travaux de construction de ponts
45221110-6;Travaux de construction de ponts
45221111-3;Travaux de construction de ponts routiers
45221112-0;Travaux de construction de ponts de chemin de fer
45221113-7;Travaux de construction de passerelles pour piétons
45221114-4;Travaux de construction de ponts en fer
45221115-1;Travaux de construction de ponts en acier
45221117-5;Travaux de construction de ponts à bascule
45221118-2;Travaux de construction de ponts pour conduites
45221119-9;Travaux de rénovation de ponts
45221120-9;Travaux de construction de viaducs
45221121-6;Travaux de construction de viaducs routiers
45221122-3;Travaux de construction de viaducs ferroviaires
45221200-4;Travaux de construction de tunnels, de puits et de passages souterrains
45221210-7;Excavations couvertes ou partiellement couvertes
45221211-4;Passage inférieur
45221213-8;Excavations ferroviaires couvertes ou partiellement couvertes
45221214-5;Excavations routières couvertes ou partiellement couvertes
45221220-0;Ponceaux
45221230-3;Puits
45221240-6;Travaux de construction de tunnels
45221241-3;Travaux de construction de tunnels routiers
45221242-0;Travaux de construction de tunnels ferroviaires
45221243-7;Travaux de construction de tunnels pour piétons
45221244-4;Travaux de construction de tunnels pour canal
45221245-1;Travaux de construction de tunnels sous-fluviaux
45221246-8;Travaux de construction de tunnels sous-marins
45221247-5;Percement de tunnels
45221248-2;Travaux de construction de revêtements de tunnels
45221250-9;Ouvrages souterrains autres que tunnels, puits et passages souterrains
45222000-9;Travaux de construction d'ouvrages de génie civil, excepté ponts, tunnels, puits et passages souterrains
45222100-0;Travaux de construction d'usines de traitement des déchets
45222110-3;Travaux de construction de décharges
45222200-1;Travaux de génie militaire
45222300-2;Travaux de génie pour installations de sécurité
45223000-6;Travaux de construction d'ouvrages
45223100-7;Assemblage de structures en métal
45223110-0;Installation de structures en métal
45223200-8;Ossatures
45223210-1;Ossatures métalliques
45223220-4;Travaux de gros œuvre
45223300-9;Travaux de construction de parkings
45223310-2;Travaux de construction de parkings souterrains
45223320-5;Travaux de construction de parkings de dissuasion
45223400-0;Travaux de construction de stations radar
45223500-1;Structures en béton armé
45223600-2;Travaux de construction de chenils
45223700-3;Travaux de construction d'aires de service
45223710-6;Travaux de construction d'aires de service d'autoroute
45223720-9;Travaux de construction de stations-services
45223800-4;Assemblage et montage de structures préfabriquées
45223810-7;Constructions préfabriquées
45223820-0;Éléments et composants préfabriqués
45223821-7;Éléments préfabriqués
45223822-4;Composants préfabriqués
45230000-8;"Travaux de construction de pipelines, de lignes de communication et d'énergie, d'autoroutes, de routes, d'aérodromes et de voies ferrées; travaux de nivelage"
45231000-5;Travaux de construction de pipelines, de lignes de communications et de lignes électriques
45231100-6;Travaux généraux de construction pour pipelines
45231110-9;Travaux de pose de conduites
45231111-6;Travaux de démontage et de remplacement de pipelines
45231112-3;Installation de réseau de conduites
45231113-0;Travaux de remplacement de pipelines
45231200-7;Travaux de construction d'oléoducs et de gazoducs
45231210-0;Travaux de construction d'oléoducs
45231220-3;Travaux de construction de gazoducs
45231221-0;Travaux de construction de canalisations d'alimentation en gaz
45231222-7;Gazomètres
45231223-4;Ouvrages annexes pour la distribution de gaz
45231300-8;Travaux de construction de conduites d'eau et de canalisations d'eaux usées à grande distance
45231400-9;Travaux de construction de lignes électriques
45231500-0;Travaux de canalisations d'air comprimé
45231510-3;Travaux relatifs à des circuits pneumatiques de distribution de courrier
45231600-1;Travaux de construction de lignes de communications
45232000-2;Ouvrages annexes de pipelines et de câbles
45232100-3;Ouvrages annexes pour canalisations d'eau
45232120-9;Travaux d'irrigation
45232121-6;Travaux de construction de canalisations d'irrigation
45232130-2;Travaux de construction de canalisations d'eaux pluviales
45232140-5;Travaux de construction de réseaux de chauffage urbain
45232141-2;Installations de chauffage
45232142-9;Travaux de construction de stations de transfert thermique
45232150-8;Travaux relatifs aux conduites d'alimentation en eau
45232151-5;Travaux de remise à neuf de conduites d'eau
45232152-2;Travaux de construction de stations de pompage
45232153-9;Travaux de construction de châteaux d'eau
45232154-6;Travaux de construction de châteaux d'eau pour l'eau potable
45232200-4;Ouvrages annexes pour lignes électriques
45232210-7;Construction de lignes aériennes
45232220-0;Travaux de construction de sous-stations
45232221-7;Sous-station de transformation
45232300-5;Travaux de construction de lignes téléphoniques et de lignes de communications et ouvrages annexes
45232310-8;Travaux de construction de lignes téléphoniques
45232311-5;Lignes téléphoniques pour bornes d'appel d'urgence
45232320-1;Lignes de télédistribution par câble
45232330-4;Montage d'antennes
45232331-1;Ouvrages annexes de télédiffusion
45232332-8;Ouvrages annexes de télécommunications
45232340-7;Travaux de construction de stations de base de téléphonie mobile
45232400-6;Travaux de construction d'égouts
45232410-9;Travaux d'assainissement
45232411-6;Travaux de construction de canalisations d'eaux usées
45232420-2;Travaux de construction de stations d'épuration des eaux usées
45232421-9;Station de traitement des eaux usées
45232422-6;Station de traitement des boues
45232423-3;Travaux de construction de stations de pompage des eaux usées
45232424-0;Travaux de construction d'émissaires
45232430-5;Travaux de traitement de l'eau
45232431-2;Station de pompage des eaux résiduaires
45232440-8;Travaux de construction de conduites d'eaux d'égouts
45232450-1;Travaux de construction pour système de drainage
45232451-8;Travaux de drainage et travaux de surface
45232452-5;Ouvrages de drainage
45232453-2;Travaux de construction de tuyaux de drainage
45232454-9;Travaux de construction de bassins d'eaux pluviales
45232460-4;Travaux d'installations sanitaires
45232470-7;Station de transfert des déchets
45233000-9;Travaux de construction, de fondation et de revêtement d'autoroutes, de routes
45233100-0;Travaux de construction d'autoroutes, de routes
45233110-3;Travaux de construction d'autoroutes
45233120-6;Travaux de construction de routes
45233121-3;Travaux de construction de routes principales
45233122-0;Travaux de construction de rocades
45233123-7;Travaux de construction de routes secondaires
45233124-4;Travaux de construction d'artères de grande circulation
45233125-1;Travaux de construction d'intersections de routes
45233126-8;Travaux de construction de carrefours dénivelés
45233127-5;Travaux de construction de carrefours en T
45233128-2;Travaux de construction de carrefours giratoires
45233129-9;Travaux de construction de routes transversales
45233130-9;Travaux de construction de routes nationales
45233131-6;Travaux de construction d'autoroutes aériennes
45233139-3;Entretien des routes nationales
45233140-2;Travaux routiers
45233141-9;Travaux d'entretien routier
45233142-6;Travaux de réparation de routes
45233144-0;Travaux de construction de passages supérieurs
45233150-5;Ouvrages de modération du trafic
45233160-8;Chemins et autres aires empierrées
45233161-5;Travaux de construction de chemins piétonniers
45233162-2;Travaux de construction de pistes cyclables
45233200-1;Travaux de revêtement divers
45233210-4;Travaux de revêtement d'autoroutes
45233220-7;Travaux de revêtement de routes
45233221-4;Travaux de marquage routier
45233222-1;Travaux de pavage et de resurfaçage de chaussées
45233223-8;Travaux de resurfaçage de chaussées
45233224-5;Travaux de construction de routes à deux chaussées séparées
45233225-2;Travaux de construction de routes à chaussée unique
45233226-9;Travaux de construction de routes d'accès
45233227-6;Travaux de construction de bretelles
45233228-3;Travaux de construction de revêtements de surface
45233229-0;Entretien des accotements
45233250-6;Travaux de revêtements, excepté revêtements de chaussées
45233251-3;Travaux de resurfaçage
45233252-0;Travaux de revêtement de rues
45233253-7;Travaux de revêtement de chemins piétonniers
45233260-9;Travaux de construction de voies piétonnes
45233261-6;Travaux de construction de passages supérieurs pour piétons
45233262-3;Travaux de construction de zones piétonnes
45233270-2;Travaux de marquage d'emplacements de parking
45233280-5;Pose de barrières routières
45233290-8;Installation de panneaux de signalisation
45233291-5;Installation de bollards
45233292-2;Installation de dispositifs de sécurité
45233293-9;Installation de mobilier urbain
45233294-6;Installation de signalisation routière
45233300-2;Travaux de fondation d'autoroutes, de routes, de rues et de chemins piétonniers
45233310-5;Travaux de fondation d'autoroutes
45233320-8;Travaux de fondation de routes
45233330-1;Travaux de fondation de rues
45233340-4;Travaux de fondation de chemins piétonniers
45234000-6;Travaux de construction de voies ferrées et de systèmes de transport par câble
45234100-7;Ouvrages ferroviaires
45234110-0;Chemin de fer interurbain
45234111-7;Travaux de construction de chemins de fer urbain
45234112-4;Travaux de construction de dépôts ferroviaires
45234113-1;Démolition de voies ferrées
45234114-8;Travaux de construction de remblais de chemin de fer
45234115-5;Travaux de signalisation ferroviaire
45234116-2;Travaux de construction de voies
45234120-3;Ouvrages ferroviaires urbains
45234121-0;Ouvrages pour le tramway
45234122-7;Ouvrages pour le métro
45234123-4;Chemin de fer partiellement souterrain
45234124-1;Transport ferroviaire souterrain de passagers
45234125-8;Station de métro
45234126-5;Travaux de construction de lignes de tramway
45234127-2;Travaux de construction de dépôts de tramway
45234128-9;Travaux de construction d'arrêts de tramway
45234129-6;Travaux de construction de voies ferrées urbaines
45234130-6;Travaux de construction de ballasts
45234140-9;Travaux de construction des passages à niveau
45234160-5;Travaux de construction de caténaires
45234170-8;Travaux de construction de sous-stations électriques à usage ferroviaire
45234180-1;Travaux de construction d'ateliers de chemin de fer
45234181-8;Travaux de construction de postes de sectionnement
45234200-8;Systèmes de transport par câble
45234210-1;Systèmes de transport par câble avec cabines
45234220-4;Travaux de construction de remonte-pente
45234230-7;Travaux de construction de télésièges
45234240-0;Funiculaire
45234250-3;Travaux de construction de téléphériques
45235000-3;Travaux de construction de terrains d'aviation, de pistes d'envol et d'atterrissage et d'aires de manœuvre
45235100-4;Travaux de construction d'aéroports
45235110-7;Travaux de construction de terrains d'aviation
45235111-4;Travaux de revêtement de terrains d'aviation
45235200-5;Travaux de construction de pistes d'envol et d'atterrissage
45235210-8;Resurfaçage de pistes d'envol et d'atterrissage
45235300-6;Travaux de construction d'aires de manœuvre pour avions
45235310-9;Travaux de construction de pistes de roulement
45235311-6;Travaux de revêtement de pistes de roulement
45235320-2;Travaux de construction d'aires de stationnement pour avions
45236000-0;Travaux de nivelage
45236100-1;Travaux de nivelage pour équipements sportifs divers
45236110-4;Travaux de nivelage de terrains de sports
45236111-1;Travaux de nivelage de terrains de golf
45236112-8;Travaux de nivelage de courts de tennis
45236113-5;Travaux de nivelage de champs de courses
45236114-2;Travaux de nivelage de pistes
45236119-7;Travaux de réparation de terrains de sports
45236200-2;Travaux de nivelage d'installations récréatives
45236210-5;Travaux de nivelage d'aires de jeu pour enfants
45236220-8;Travaux de nivelage de zoos
45236230-1;Travaux de nivelage de jardins
45236250-7;Travaux de nivelage de parcs
45236290-9;Travaux de réparation d'espaces de loisir
45236300-3;Travaux de nivelage pour cimetières
45237000-7;Travaux de construction de scènes
45240000-1;Travaux de construction d'ouvrages hydrauliques
45241000-8;Travaux de construction de ports
45241100-9;Travaux de construction de quais
45241200-0;Travaux de construction in situ de terminaux offshore
45241300-1;Travaux de construction de jetées
45241400-2;Travaux de construction de docks
45241500-3;Travaux de construction de môles
45241600-4;Installation de matériel d'éclairage portuaire
45242000-5;Travaux de construction d'installations de loisirs nautiques
45242100-6;Travaux de construction d'installations de sports nautiques
45242110-9;Travaux de construction de voies de mise à l'eau
45242200-7;Travaux de construction de marinas
45242210-0;Travaux de construction de ports de plaisance
45243000-2;Ouvrages de défense des côtes
45243100-3;Ouvrages de protection des falaises
45243110-6;Travaux de stabilisation des falaises
45243200-4;Travaux de construction de brise-lames
45243300-5;Travaux de construction de digues de mer
45243400-6;Travaux de consolidation des plages
45243500-7;Travaux de construction d'ouvrages de défense maritimes
45243510-0;Travaux d'endiguement
45243600-8;Travaux de construction de murs de quai
45244000-9;Ouvrages maritimes
45244100-0;Installations maritimes
45244200-1;Jetées
45245000-6;Ouvrages de dragage et de pompage pour installations de traitement des eaux
45246000-3;Ouvrages de régularisation des cours d'eau et de maîtrise des crues
45246100-4;Construction de murs de rive
45246200-5;Travaux de protection des berges
45246400-7;Ouvrages de protection contre les inondations
45246410-0;Entretien de digues
45246500-8;Travaux de construction de promenades
45246510-1;Travaux de construction de chemins de planches
45247000-0;Travaux de construction de barrages, de canaux, de canaux d'irrigation et d'aqueducs
45247100-1;Travaux de construction de voies navigables
45247110-4;Construction de canaux
45247111-1;Travaux de construction de canaux d'irrigation
45247112-8;Travaux de construction de canaux de drainage
45247120-7;Voies navigables, excepté canaux
45247130-0;Travaux de construction d'aqueducs
45247200-2;Travaux de construction de barrages et d'ouvrages fixes similaires
45247210-5;Travaux de construction de barrages
45247211-2;Travaux de construction de murs de barrage
45247212-9;Travaux de renforcement de barrage
45247220-8;Travaux de construction de déversoirs
45247230-1;Travaux de construction de digues
45247240-4;Travaux de construction de barrages statiques
45247270-3;Travaux de construction de réservoirs
45248000-7;Travaux de construction d'ouvrages hydromécaniques
45248100-8;Travaux de construction d'écluses de canal
45248200-9;Travaux de construction de cales sèches
45248300-0;Travaux de construction de docks flottants
45248400-1;Travaux de construction d'appontements
45248500-2;Travaux de construction de barrages mobiles
45250000-4;Travaux de construction d'usines, d'exploitations minières et d'unités de fabrication et de bâtiments pour l'industrie du pétrole et du gaz
45251000-1;Travaux de construction de centrales électriques et de centrales thermiques
45251100-2;Travaux de construction de centrales électriques
45251110-5;Travaux de construction de centrales nucléaires
45251111-2;Travaux de construction d'un réacteur nucléaire
45251120-8;Travaux de construction de centrales hydroélectriques
45251140-4;Travaux de construction de centrales thermiques
45251141-1;Travaux de construction de centrales géothermiques
45251142-8;Travaux de construction de centrales alimentées au bois
45251143-5;Travaux de construction d'unités de production d'air comprimé
45251150-7;Travaux de construction de tours de refroidissement
45251160-0;Installations à énergie éolienne
45251200-3;Travaux de construction de centrales de chauffage
45251220-9;Travaux de construction de centrales de cogénération
45251230-2;Travaux de construction d'usines génératrices de vapeur
45251240-5;Travaux de construction de centrales de production d'électricité alimentées au gaz de décharge
45251250-8;Travaux de construction de centrales de chauffage urbain
45252000-8;Travaux de construction de stations de traitement des eaux usées, de stations d'épuration et d'usines d'incinération des ordures ménagères
45252100-9;Travaux de construction de stations d'épuration
45252110-2;Travaux de construction de centrales mobiles
45252120-5;Travaux de construction d'installations de traitement des eaux
45252121-2;Installations de sédimentation
45252122-9;Digesteurs de boues
45252123-6;Installations de criblage
45252124-3;Travaux de dragage et de pompage
45252125-0;Travaux d'enrochement
45252126-7;Travaux de construction de stations de traitement de l'eau potable
45252127-4;Travaux de construction de stations de traitement des eaux usées
45252130-8;Équipement de station d'épuration
45252140-1;Travaux de construction d'installations de déshydratation des boues
45252150-4;Travaux de construction d'installations de manutention du charbon
45252200-0;Matériel pour installation de purification
45252210-3;Travaux de construction de stations de purification de l'eau
45252300-1;Travaux de construction d'usines d'incinération des ordures ménagères
45253000-5;Travaux de construction d'usines de traitement chimique
45253100-6;Travaux de construction d'installations de déminéralisation
45253200-7;Travaux de construction d'installations de désulfuration
45253300-8;Travaux de construction d'installations de distillation ou de rectification
45253310-1;Travaux de construction d'installations de distillation d'eau
45253320-4;Travaux de construction d'installations de distillation d'alcool
45253400-9;Travaux de construction d'usines pétrochimiques
45253500-0;Travaux de construction d'usines pharmaceutiques
45253600-1;Travaux de construction d'installations de déionisation
45253700-2;Travaux de construction d'installations de digestion
45253800-3;Travaux de construction d'usines de compostage
45254000-2;Travaux de construction d'exploitations minières et d'unités de fabrication
45254100-3;Travaux de construction d'exploitations minières
45254110-6;Travaux de construction de bâtiments de puits
45254200-4;Travaux de construction d'usines de production
45255000-9;Travaux de construction pour l'industrie du pétrole et du gaz
45255100-0;Travaux de construction de Plates-formes de production
45255110-3;Travaux de construction de puits d'extraction
45255120-6;Travaux de construction d'installations pour plate-formes
45255121-3;Travaux de construction d'installations de surface
45255200-1;Travaux de construction de raffineries de pétrole
45255210-4;Travaux de construction de terminaux pétroliers
45255300-2;Travaux de construction de terminaux à gaz
45255400-3;Travaux de montage
45255410-6;Travaux de montage offshore
45255420-9;Travaux de montage à terre
45255430-2;Démolition de Plates-formes pétrolières
45255500-4;Travaux de forage et d'exploration
45255600-5;Intervention au tube enroulé sur puits sous pression
45255700-6;Travaux de construction d'usines de gazéificaton du charbon
45255800-7;Travaux de construction d'unités de production de gaz
45259000-7;Réparation et entretien d'équipements
45259100-8;Réparation et entretien de station d'épuration
45259200-9;Réparation et entretien de station de purification
45259300-0;Réparation et entretien de centrales thermiques
45259900-6;Modernisation d'installations
45260000-7;Travaux de couverture et travaux d'autres corps de métier spécialisés
45261000-4;Travaux de charpente et de couverture et travaux connexes
45261100-5;Travaux de charpente
45261200-6;Travaux de couverture et de peinture de toiture
45261210-9;Travaux de couverture
45261211-6;Travaux de couverture en tuiles
45261212-3;Travaux de couverture en ardoises
45261213-0;Travaux de couverture métallique
45261214-7;Travaux de couverture en bardeaux bitumés
45261215-4;Travaux de couverture de panneaux solaires
45261220-2;Travaux de peinture de couverture et autres travaux d'application d'enduits
45261221-9;Travaux de peinture de toiture
45261222-6;Travaux de pose d'enduit sur couverture en ciment
45261300-7;Travaux de garnissage et de pose de gouttières
45261310-0;Travaux de garnissage
45261320-3;Travaux de pose de gouttières
45261400-8;Travaux de revêtement
45261410-1;Travaux d'isolation de toiture
45261420-4;Travaux d'étanchéification
45261900-3;Réparation et entretien de toiture
45261910-6;Réparation de toiture
45261920-9;Travaux d'entretien de toiture
45262000-1;Travaux de corps de métier spécialisés autres que travaux de couverture
45262100-2;Travaux d'installation d'échafaudages
45262110-5;Travaux de démontage d'échafaudages
45262120-8;Travaux de montage d'échafaudages
45262200-3;Travaux de fondation et forage de puits de captage
45262210-6;Travaux de fondation
45262211-3;Battage de pieux
45262212-0;Travaux de coffrage
45262213-7;Parois moulées en tranchée
45262220-9;Forage de puits de captage
45262300-4;Travaux de bétonnage
45262310-7;Travaux de mise en œuvre de béton armé
45262311-4;Travaux de gros œuvre en béton
45262320-0;Ragréages
45262321-7;Travaux de chape
45262330-3;Travaux de réparation d'ouvrages en béton
45262340-6;Travaux d'injection de ciment
45262350-9;Travaux de mise en œuvre de béton non armé
45262360-2;Travaux de cimentation
45262370-5;Travaux d'enrobage de béton
45262400-5;Travaux d'assemblage d'ossatures métalliques
45262410-8;Travaux d'assemblage d'ossatures métalliques de bâtiment
45262420-1;Travaux d'assemblage d'ossatures métalliques d'ouvrage
45262421-8;Installation de dispositifs d'amarrage en mer
45262422-5;Travaux de forage sous-marin
45262423-2;Travaux de fabrication de ponts
45262424-9;Travaux de fabrication de modules offshore
45262425-6;Travaux de fabrication de treillis de plate-forme
45262426-3;Travaux de fabrication de piles
45262500-6;Travaux de maçonnerie et de briquetage
45262510-9;Maçonnerie de pierres
45262511-6;Taille de pierres
45262512-3;Maçonnerie de pierres de taille
45262520-2;Travaux de briquetage
45262521-9;Maçonnerie de parement
45262522-6;Travaux de maçonnerie
45262600-7;Travaux de construction spécialisés divers
45262610-0;Cheminées industrielles
45262620-3;Murs de soutènement
45262630-6;Construction de fourneaux
45262640-9;Travaux d'amélioration de l'environnement
45262650-2;Travaux de bardage
45262660-5;Travaux de désamiantage
45262670-8;Transformation des métaux
45262680-1;Soudage
45262690-4;Remise en état de bâtiments dégradés
45262700-8;Travaux de transformation de bâtiments
45262710-1;Travaux d'entretien de fresques
45262800-9;Travaux d'extension de bâtiments
45262900-0;Travaux de balcon
45300000-0;Travaux d'équipement du bâtiment
45310000-3;Travaux d'équipement électrique
45311000-0;Travaux de câblage et d'installations électriques
45311100-1;Travaux de câblage électrique
45311200-2;Travaux d'installations électriques
45312000-7;Travaux d'installation de systèmes d'alarme et d'antennes
45312100-8;Travaux d'installation de systèmes avertisseurs d'incendie
45312200-9;Travaux d'installation de systèmes avertisseurs d'effraction
